estado,ano,turno,situacao,quantidade,proporcao
Acre,1989,1,ABSTENÇÃO,42488,0.23243269856726315
Acre,1989,1,DEMAIS,140309,0.7675673014327369
Acre,1989,2,ABSTENÇÃO,42488,0.23243269856726315
Acre,1989,2,DEMAIS,140309,0.7675673014327369
Acre,1994,1,ABSTENÇÃO,56769,0.21571883478617734
Acre,1994,1,DEMAIS,206393,0.7842811652138226
Acre,1998,1,ABSTENÇÃO,79357,0.24880312269755922
Acre,1998,1,DEMAIS,239598,0.7511968773024408
Acre,2002,1,ABSTENÇÃO,79355,0.21459709129063836
Acre,2002,1,DEMAIS,290431,0.7854029087093616
Acre,2002,2,ABSTENÇÃO,125550,0.33952069575376026
Acre,2002,2,DEMAIS,244236,0.6604793042462397
Acre,2006,1,ABSTENÇÃO,78422,0.09497868423602364
Acre,2006,1,DEMAIS,747258,0.9050213157639764
Acre,2006,2,ABSTENÇÃO,114177,0.13828238542776863
Acre,2006,2,DEMAIS,711503,0.8617176145722314
Acre,2010,1,ABSTENÇÃO,106975,0.22734276211626944
Acre,2010,1,DEMAIS,363570,0.7726572378837305
Acre,2010,2,ABSTENÇÃO,134317,0.2856592939174819
Acre,2010,2,DEMAIS,335883,0.7143407060825181
Acre,2014,1,ABSTENÇÃO,87748,0.17323698965490011
Acre,2014,1,DEMAIS,418772,0.8267630103450999
Acre,2014,2,ABSTENÇÃO,112365,0.22183636643620613
Acre,2014,2,DEMAIS,394157,0.7781636335637939
Alagoas,1989,1,ABSTENÇÃO,242994,0.2006892980408772
Alagoas,1989,1,DEMAIS,967803,0.7993107019591228
Alagoas,1989,2,ABSTENÇÃO,242994,0.2006892980408772
Alagoas,1989,2,DEMAIS,967803,0.7993107019591228
Alagoas,1994,1,ABSTENÇÃO,177923,0.15378093155515604
Alagoas,1994,1,DEMAIS,979067,0.846219068444844
Alagoas,1998,1,ABSTENÇÃO,390465,0.28220945359930616
Alagoas,1998,1,DEMAIS,993135,0.7177905464006938
Alagoas,2002,1,ABSTENÇÃO,338597,0.21161095736995122
Alagoas,2002,1,DEMAIS,1261495,0.7883890426300487
Alagoas,2002,2,ABSTENÇÃO,438218,0.27387050244610933
Alagoas,2002,2,DEMAIS,1161874,0.7261294975538907
Alagoas,2006,1,ABSTENÇÃO,345737,0.09296569430170794
Alagoas,2006,1,DEMAIS,3373237,0.907034305698292
Alagoas,2006,2,ABSTENÇÃO,455444,0.12246495942160392
Alagoas,2006,2,DEMAIS,3263530,0.877535040578396
Alagoas,2010,1,ABSTENÇÃO,449639,0.2211176587165961
Alagoas,2010,1,DEMAIS,1583844,0.778882341283404
Alagoas,2010,2,ABSTENÇÃO,536872,0.2640114324043357
Alagoas,2010,2,DEMAIS,1496646,0.7359885675956642
Alagoas,2014,1,ABSTENÇÃO,382657,0.1917933110894252
Alagoas,2014,1,DEMAIS,1612496,0.8082066889105748
Alagoas,2014,2,ABSTENÇÃO,391592,0.1962689099384968
Alagoas,2014,2,DEMAIS,1603589,0.8037310900615032
Amapá,1989,1,ABSTENÇÃO,26207,0.22182252166847238
Amapá,1989,1,DEMAIS,91937,0.7781774783315276
Amapá,1989,2,ABSTENÇÃO,26207,0.22182252166847238
Amapá,1989,2,DEMAIS,91937,0.7781774783315276
Amapá,1994,1,ABSTENÇÃO,54545,0.27663804514862733
Amapá,1994,1,DEMAIS,142626,0.7233619548513727
Amapá,1998,1,ABSTENÇÃO,28941,0.13568913539844998
Amapá,1998,1,DEMAIS,184348,0.86431086460155
Amapá,2002,1,ABSTENÇÃO,42259,0.14566995632555557
Amapá,2002,1,DEMAIS,247842,0.8543300436744444
Amapá,2002,2,ABSTENÇÃO,52281,0.18021654527216383
Amapá,2002,2,DEMAIS,237820,0.8197834547278362
Amapá,2006,1,ABSTENÇÃO,51487,0.07138796608007454
Amapá,2006,1,DEMAIS,669741,0.9286120339199254
Amapá,2006,2,ABSTENÇÃO,81020,0.1123361821781739
Amapá,2006,2,DEMAIS,640208,0.8876638178218261
Amapá,2010,1,ABSTENÇÃO,62539,0.14878512410457473
Amapá,2010,1,DEMAIS,357792,0.8512148758954253
Amapá,2010,2,ABSTENÇÃO,81796,0.19459068535907068
Amapá,2010,2,DEMAIS,338553,0.8054093146409294
Amapá,2014,1,ABSTENÇÃO,47522,0.10435955095658896
Amapá,2014,1,DEMAIS,407846,0.895640449043411
Amapá,2014,2,ABSTENÇÃO,66288,0.14557017620913196
Amapá,2014,2,DEMAIS,389080,0.8544298237908681
Amazonas,1989,1,ABSTENÇÃO,215431,0.2558310760340726
Amazonas,1989,1,DEMAIS,626652,0.7441689239659274
Amazonas,1989,2,ABSTENÇÃO,215431,0.2558310760340726
Amazonas,1989,2,DEMAIS,626652,0.7441689239659274
Amazonas,1994,1,ABSTENÇÃO,306465,0.2770916251810569
Amazonas,1994,1,DEMAIS,799541,0.7229083748189431
Amazonas,1998,1,ABSTENÇÃO,398436,0.29123650302174425
Amazonas,1998,1,DEMAIS,969648,0.7087634969782557
Amazonas,2002,1,ABSTENÇÃO,332419,0.21801870105271304
Amazonas,2002,1,DEMAIS,1192308,0.781981298947287
Amazonas,2002,2,ABSTENÇÃO,453174,0.29728843224491885
Amazonas,2002,2,DEMAIS,1071184,0.7027115677550811
Amazonas,2006,1,ABSTENÇÃO,316270,0.08877599884577447
Amazonas,2006,1,DEMAIS,3246292,0.9112240011542255
Amazonas,2006,2,ABSTENÇÃO,411421,0.11548231756746136
