estado,partido,votos,eleicao,ano
Rondônia,PDS,94886,Camara dos Deputados 1982,1982
Acre,PDS,32838,Camara dos Deputados 1982,1982
Amazonas,PDS,153435,Camara dos Deputados 1982,1982
Roraima,PDS,19501,Camara dos Deputados 1982,1982
Pará,PDS,429526,Camara dos Deputados 1982,1982
Amapá,PDS,38566,Camara dos Deputados 1982,1982
Maranhão,PDS,696059,Camara dos Deputados 1982,1982
Piauí,PDS,403670,Camara dos Deputados 1982,1982
Ceará,PDS,1257504,Camara dos Deputados 1982,1982
R. G. do Norte,PDS,389160,Camara dos Deputados 1982,1982
Paraíba,PDS,501554,Camara dos Deputados 1982,1982
Pernambuco,PDS,928234,Camara dos Deputados 1982,1982
Alagoas,PDS,279436,Camara dos Deputados 1982,1982
Sergipe,PDS,247887,Camara dos Deputados 1982,1982
Bahia,PDS,1628901,Camara dos Deputados 1982,1982
Minas Gerais,PDS,2311738,Camara dos Deputados 1982,1982
Espírito Santo,PDS,283429,Camara dos Deputados 1982,1982
Rio de Janeiro,PDS,1399748,Camara dos Deputados 1982,1982
São Paulo,PDS,2613746,Camara dos Deputados 1982,1982
Paraná,PDS,1094546,Camara dos Deputados 1982,1982
Santa Catarina,PDS,823804,Camara dos Deputados 1982,1982
R. G. do Sul,PDS,1277460,Camara dos Deputados 1982,1982
M. G. do Sul,PDS,226386,Camara dos Deputados 1982,1982
Mato Grosso,PDS,190673,Camara dos Deputados 1982,1982
Goiás,PDS,453051,Camara dos Deputados 1982,1982
Rondônia,PMDB,63517,Camara dos Deputados 1982,1982
Acre,PMDB,34039,Camara dos Deputados 1982,1982
Amazonas,PMDB,186134,Camara dos Deputados 1982,1982
Roraima,PMDB,6397,Camara dos Deputados 1982,1982
Pará,PMDB,453296,Camara dos Deputados 1982,1982
Amapá,PMDB,8391,Camara dos Deputados 1982,1982
Maranhão,PMDB,170270,Camara dos Deputados 1982,1982
Piauí,PMDB,246479,Camara dos Deputados 1982,1982
Ceará,PMDB,435541,Camara dos Deputados 1982,1982
R. G. do Norte,PMDB,259825,Camara dos Deputados 1982,1982
Paraíba,PMDB,330676,Camara dos Deputados 1982,1982
Pernambuco,PMDB,753812,Camara dos Deputados 1982,1982
Alagoas,PMDB,185453,Camara dos Deputados 1982,1982
Sergipe,PMDB,73187,Camara dos Deputados 1982,1982
Bahia,PMDB,920450,Camara dos Deputados 1982,1982
Minas Gerais,PMDB,2456638,Camara dos Deputados 1982,1982
Espírito Santo,PMDB,407776,Camara dos Deputados 1982,1982
Rio de Janeiro,PMDB,1057102,Camara dos Deputados 1982,1982
São Paulo,PMDB,4770049,Camara dos Deputados 1982,1982
Paraná,PMDB,1589421,Camara dos Deputados 1982,1982
Santa Catarina,PMDB,787124,Camara dos Deputados 1982,1982
R. G. do Sul,PMDB,1170849,Camara dos Deputados 1982,1982
M. G. do Sul,PMDB,244950,Camara dos Deputados 1982,1982
