estado,ano,turno,situacao,quantidade,proporcao
Acre,1989,1,DEMAIS,54787,0.29971498438158173
Acre,1989,1,VALIDOS,128010,0.7002850156184183
Acre,1989,2,DEMAIS,54787,0.29971498438158173
Acre,1989,2,VALIDOS,128010,0.7002850156184183
Acre,1994,1,DEMAIS,96277,0.3658468927884725
Acre,1994,1,VALIDOS,166885,0.6341531072115275
Acre,1998,1,DEMAIS,125874,0.394645012619335
Acre,1998,1,VALIDOS,193081,0.605354987380665
Acre,2002,1,DEMAIS,104897,0.2836694736955969
Acre,2002,1,VALIDOS,264889,0.7163305263044031
Acre,2002,2,DEMAIS,135620,0.36675266235065684
Acre,2002,2,VALIDOS,234166,0.6332473376493432
Acre,2006,1,DEMAIS,513074,0.6213956980912703
Acre,2006,1,VALIDOS,312606,0.3786043019087298
Acre,2006,2,DEMAIS,536185,0.6493859606627265
Acre,2006,2,VALIDOS,289495,0.35061403933727353
Acre,2010,1,DEMAIS,124724,0.2650628526495872
Acre,2010,1,VALIDOS,345821,0.7349371473504128
Acre,2010,2,DEMAIS,150465,0.3200021267545725
Acre,2010,2,VALIDOS,319735,0.6799978732454275
Acre,2014,1,DEMAIS,107629,0.21248716733791362
Acre,2014,1,VALIDOS,398891,0.7875128326620864
Acre,2014,2,DEMAIS,124070,0.2449449382257829
Acre,2014,2,VALIDOS,382452,0.7550550617742171
Alagoas,1989,1,DEMAIS,349327,0.2885099649239303
Alagoas,1989,1,VALIDOS,861470,0.7114900350760698
Alagoas,1989,2,DEMAIS,349327,0.2885099649239303
Alagoas,1989,2,VALIDOS,861470,0.7114900350760698
Alagoas,1994,1,DEMAIS,467825,0.40434662356632295
Alagoas,1994,1,VALIDOS,689165,0.595653376433677
Alagoas,1998,1,DEMAIS,662947,0.4791464296039318
Alagoas,1998,1,VALIDOS,720653,0.5208535703960683
Alagoas,2002,1,DEMAIS,523906,0.3274224232106654
Alagoas,2002,1,VALIDOS,1076186,0.6725775767893346
Alagoas,2002,2,DEMAIS,506181,0.31634493516622797
Alagoas,2002,2,VALIDOS,1093911,0.683655064833772
Alagoas,2006,1,DEMAIS,2378259,0.6394933118650467
Alagoas,2006,1,VALIDOS,1340715,0.36050668813495335
Alagoas,2006,2,DEMAIS,2380410,0.6400716971939034
Alagoas,2006,2,VALIDOS,1338564,0.3599283028060965
Alagoas,2010,1,DEMAIS,639404,0.31443783891972543
Alagoas,2010,1,VALIDOS,1394079,0.6855621610802746
Alagoas,2010,2,DEMAIS,658914,0.32402663758078365
Alagoas,2010,2,VALIDOS,1374604,0.6759733624192164
Alagoas,2014,1,DEMAIS,586200,0.29381205351168554
Alagoas,2014,1,VALIDOS,1408953,0.7061879464883144
Alagoas,2014,2,DEMAIS,479883,0.24052103543488035
Alagoas,2014,2,VALIDOS,1515298,0.7594789645651197
Amapá,1989,1,DEMAIS,30873,0.2613166982665222
Amapá,1989,1,VALIDOS,87271,0.7386833017334777
Amapá,1989,2,DEMAIS,30873,0.2613166982665222
Amapá,1989,2,VALIDOS,87271,0.7386833017334777
Amapá,1994,1,DEMAIS,67919,0.3444674926840154
Amapá,1994,1,VALIDOS,129252,0.6555325073159846
Amapá,1998,1,DEMAIS,51971,0.24366469907027555
Amapá,1998,1,VALIDOS,161318,0.7563353009297245
Amapá,2002,1,DEMAIS,56828,0.19589039679284112
Amapá,2002,1,VALIDOS,233273,0.8041096032071589
Amapá,2002,2,DEMAIS,62528,0.21553872616778294
Amapá,2002,2,VALIDOS,227573,0.7844612738322171
Amapá,2006,1,DEMAIS,425849,0.5904498993383507
Amapá,2006,1,VALIDOS,295379,0.4095501006616493
Amapá,2006,2,DEMAIS,448929,0.6224508754513136
Amapá,2006,2,VALIDOS,272299,0.3775491245486864
Amapá,2010,1,DEMAIS,79591,0.18935315263447142
Amapá,2010,1,VALIDOS,340740,0.8106468473655286
Amapá,2010,2,DEMAIS,103345,0.2458552298209345
Amapá,2010,2,VALIDOS,317004,0.7541447701790654
Amapá,2014,1,DEMAIS,66030,0.14500360148275682
Amapá,2014,1,VALIDOS,389338,0.8549963985172432
Amapá,2014,2,DEMAIS,85290,0.18729906361448323
Amapá,2014,2,VALIDOS,370078,0.8127009363855168
Amazonas,1989,1,DEMAIS,246214,0.29238685497747846
Amazonas,1989,1,VALIDOS,595869,0.7076131450225215
Amazonas,1989,2,DEMAIS,246214,0.29238685497747846
Amazonas,1989,2,VALIDOS,595869,0.7076131450225215
Amazonas,1994,1,DEMAIS,412165,0.3726607269761647
Amazonas,1994,1,VALIDOS,693841,0.6273392730238353
Amazonas,1998,1,DEMAIS,541274,0.395643834735294
Amazonas,1998,1,VALIDOS,826810,0.6043561652647059
Amazonas,2002,1,DEMAIS,413685,0.27131742272551085
Amazonas,2002,1,VALIDOS,1111042,0.7286825772744892
Amazonas,2002,2,DEMAIS,491149,0.3222005591862279
Amazonas,2002,2,VALIDOS,1033209,0.6777994408137721
Amazonas,2006,1,DEMAIS,2191054,0.6150219982136451
Amazonas,2006,1,VALIDOS,1371508,0.3849780017863549
Amazonas,2006,2,DEMAIS,2226585,0.6249831585187581
Amazonas,2006,2,VALIDOS,1336047,0.375016841481242
Amazonas,2010,1,DEMAIS,502948,0.24798705403323862
Amazonas,2010,1,VALIDOS,1525174,0.7520129459667614
Amazonas,2010,2,DEMAIS,611299,0.30139396787065037
Amazonas,2010,2,VALIDOS,1416940,0.6986060321293497
Amazonas,2014,1,DEMAIS,547775,0.24612132295125425
Amazonas,2014,1,VALIDOS,1677855,0.7538786770487458
Amazonas,2014,2,DEMAIS,636791,0.28610934761384216
Amazonas,2014,2,VALIDOS,1588900,0.7138906523861578
Bahia,1989,1,DEMAIS,1842786,0.31266193756520555
Bahia,1989,1,VALIDOS,4051075,0.68733806243479445
Bahia,1989,2,DEMAIS,1842786,0.31266193756520555
Bahia,1989,2,VALIDOS,4051075,0.68733806243479445
Bahia,1994,1,DEMAIS,3307734,0.4704082584620566
Bahia,1994,1,VALIDOS,3723890,0.5295917415379434
Bahia,1998,1,DEMAIS,4048048,0.5103292542776128
Bahia,1998,1,VALIDOS,3884180,0.4896707457223872
Bahia,2002,1,DEMAIS,3323038,0.3878390562185132
Bahia,2002,1,VALIDOS,5245047,0.6121609437814868
Bahia,2002,2,DEMAIS,2919922,0.3407699412342877
Bahia,2002,2,VALIDOS,5648680,0.6592300587657123
Bahia,2006,1,DEMAIS,11777649,0.646459139304405
Bahia,2006,1,VALIDOS,6441057,0.353540860695595
Bahia,2006,2,DEMAIS,11573975,0.6352797503840284
Bahia,2006,2,VALIDOS,6644731,0.3647202496159716
Bahia,2010,1,DEMAIS,2856467,0.29928299076481546
Bahia,2010,1,VALIDOS,6687901,0.7007170092351845
Bahia,2010,2,DEMAIS,2859028,0.29954117948920506
Bahia,2010,2,VALIDOS,6685663,0.700458820510795
Bahia,2014,1,DEMAIS,3193495,0.31372164736786784
Bahia,2014,1,VALIDOS,6985895,0.6862783526321322
Bahia,2014,2,DEMAIS,2968493,0.2916107175860686
Bahia,2014,2,VALIDOS,7211150,0.7083892824139314
C. OESTE,1994,1,DEMAIS,1996510,0.3259906211833245
C. OESTE,1994,1,VALIDOS,4127930,0.6740093788166754
C. OESTE,1998,1,DEMAIS,2373949,0.3396102981095717
C. OESTE,1998,1,VALIDOS,4616266,0.6603897018904282
Ceará,1989,1,DEMAIS,749750,0.22369872831114396
Ceará,1989,1,VALIDOS,2601856,0.776301271688856
Ceará,1989,2,DEMAIS,749750,0.22369872831114396
Ceará,1989,2,VALIDOS,2601856,0.776301271688856
Ceará,1994,1,DEMAIS,1526120,0.3809078822013946
Ceará,1994,1,VALIDOS,2480413,0.6190921177986054
Ceará,1998,1,DEMAIS,1645827,0.3825787495379981
Ceará,1998,1,VALIDOS,2656103,0.6174212504620019
Ceará,2002,1,DEMAIS,1366885,0.28445605117226774
Ceará,2002,1,VALIDOS,3438374,0.7155439488277323
Ceará,2002,2,DEMAIS,1326507,0.27605317424097225
Ceará,2002,2,VALIDOS,3478752,0.7239468257590278
Ceará,2006,1,DEMAIS,6717664,0.6264629779910068
Ceará,2006,1,VALIDOS,4005498,0.37353702200899325
Ceará,2006,2,DEMAIS,6603165,0.6157852506564762
Ceará,2006,2,VALIDOS,4119997,0.38421474934352384
Ceará,2010,1,DEMAIS,1679555,0.2857325861941666
Ceará,2010,1,VALIDOS,4198511,0.7142674138058334
Ceará,2010,2,DEMAIS,1626893,0.2767675843184435
Ceará,2010,2,VALIDOS,4251299,0.7232324156815565
Ceará,2014,1,DEMAIS,1748677,0.2789443904832563
Ceará,2014,1,VALIDOS,4520232,0.7210556095167436
Ceará,2014,2,DEMAIS,1679716,0.26793844094395997
Ceará,2014,2,VALIDOS,4589321,0.73206155905604
Distrito Federal,2006,1,DEMAIS,1962295,0.5928204585964171
Distrito Federal,2006,1,VALIDOS,1347805,0.407179541403583
Distrito Federal,2006,2,DEMAIS,1966955,0.594228271049213
Distrito Federal,2006,2,VALIDOS,1343145,0.405771728950787
Distrito Federal,2010,1,DEMAIS,376883,0.2055043180209625
Distrito Federal,2010,1,VALIDOS,1457059,0.7944956819790375
Distrito Federal,2010,2,DEMAIS,492162,0.2683346645694019
Distrito Federal,2010,2,VALIDOS,1341973,0.7316653354305981
Distrito Federal,2014,1,DEMAIS,321183,0.1694273926687651
Distrito Federal,2014,1,VALIDOS,1574514,0.830572607331235
Distrito Federal,2014,2,DEMAIS,372138,0.19627593758208095
Distrito Federal,2014,2,VALIDOS,1523856,0.803724062417919
Distrito Federal,1989,1,DEMAIS,97850,0.11413341420456534
Distrito Federal,1989,1,VALIDOS,759480,0.8858665857954346
Distrito Federal,1989,2,DEMAIS,97850,0.11413341420456534
Distrito Federal,1989,2,VALIDOS,759480,0.8858665857954346
Distrito Federal,1994,1,DEMAIS,247809,0.23328754988246614
Distrito Federal,1994,1,VALIDOS,814438,0.7667124501175339
Distrito Federal,1998,1,DEMAIS,300783,0.23722459924680087
Distrito Federal,1998,1,VALIDOS,967142,0.7627754007531992
Distrito Federal,2002,1,DEMAIS,308503,0.20337486930737192
Distrito Federal,2002,1,VALIDOS,1208415,0.7966251306926281
Distrito Federal,2002,2,DEMAIS,269244,0.17731654326126142
Distrito Federal,2002,2,VALIDOS,1249193,0.82268345673873855
Espirito Santo,2006,1,DEMAIS,2871872,0.6146636343050674
