"partido","ano","turno","nome","votos","porcentagem"
"AMIN",1994,"Turno 1","Espiridião ",1739458,2.73
"PCB",1989,"Turno 1","Roberto Freire  ",768803,1.15
"PCB",2010,"Turno 1","Ivan Martins Pinheiro ",38858,0.02
"PCB",2014,"Turno 1","Mauro Luís Iasi ",47549,0.03
"PCN",1989,"Turno 1","Zamir ",187160,0.27
"PCO",2002,"Turno 1","Rui Pimenta ",38516,0.03
"PCO",2006,"Turno 1","Rui Costa Pimenta ",25346,0.01
"PCO",2010,"Turno 1","Rui Costa Pimenta ",12135,0
"PCO",2014,"Turno 1","Rui Costa Pimenta ",12245,0
"PDCdoB",1989,"Turno 1","Manoel Horta ",83280,0.1
"PDS",1989,"Turno 1","Paulo Maluf ",5986012,8.85
"PDT",1989,"Turno 1","Leonel Brizola ",11166016,16.52
"PDT",1994,"Turno 1","Leonel Brizola ",2015284,3.2
"PDT",2006,"Turno 1","Cristóvão Buarque ",2537022,2.65
"PFL",1989,"Turno 1","Aureliano Chaves ",600730,0.89
"PL",1989,"Turno 1","Guilherme Afif ",3271986,4.82
"PLP",1989,"Turno 1","Eudes Mattar ",162336,0.22
"PMDB",1989,"Turno 1","Ulysses Guimarães ",3204853,4.74
"PMDB",1994,"Turno 1","Orestes Quércia ",2771788,4.36
"PMN",1989,"Turno 1","Celso Brandt ",109894,0.12
"PMN",1998,"Turno 1","Ivan Frota ",251276,0.37
"PN",1989,"Turno 1","Lívia Maria ",179896,0.25
"PP",1989,"Turno 1","Paulo Gontijo  ",198708,0.27
"PPB",1989,"Turno 1","Antônio Pedreira ",86100,0.11
"PPS",1998,"Turno 1","Ciro Gomes ",7424783,10.95
"PPS",2002,"Turno 1","Ciro Gomes ",10166237,11.98
"PRN",1989,"Turno 1","Fernando Collor ",20607936,30.46
"PRN",1994,"Turno 1","Carlos Antônio Gomes ",387611,0.61
"PRONA",1989,"Turno 1","Enéas Carneiro ",360574,0.51
"PRONA",1994,"Turno 1","Êneas Carneiro ",4670894,7.38
"PRONA",1998,"Turno 1","Enéas Carneiro ",1446783,2.15
"PRP",2006,"Turno 1","Ana Maria Rangel ",125767,0.1
"PRR",1989,"Turno 2","Fernando Collor de Mello ",35085457,53.01
"PRTB",2010,"Turno 1","Jose Levy Fidelix da Cruz ",57733,0.03
"PRTB",2014,"Turno 1","Jose Levy Fidelix da Cruz ",446272,0.41
"PSB",2002,"Turno 1","Anthony Garotinho ",15176372,17.88
"PSB",2014,"Turno 1","Marina Silva ",22125424,21.34
"PSC",1994,"Turno 1","Hernani Fontoura ",238126,0.39
"PSC",1998,"Turno 1","Sérgio Bueno ",124546,0.16
"PSC",2014,"Turno 1","Everaldo Dias ",760393,0.72
"PSD",1989,"Turno 1","Ronaldo Caiado ",488872,0.73
"PSDB",1989,"Turno 1","Mário Covas ",7786939,11.5
"PSDB",1994,"Turno 1","Fernando Henrique Cardoso ",34350217,54.26
"PSDB",1998,"Turno 1","Fernando Henrique Cardoso ",35922692,53.06
"PSDB",2002,"Turno 1","José Serra ",19566470,23.06
"PSDB",2002,"Turno 2","José Serra ",33356109,38.7
"PSDB",2006,"Turno 1","Geraldo Alckmin ",39950856,41.67
"PSDB",2006,"Turno 2","Geraldo Alckimin ",37522266,39.12
"PSDB",2010,"Turno 1","José Serra ",33078177,32.59
"PSDB",2010,"Turno 2","José Serra ",43638458,43.94
"PSDB",2014,"Turno 1","Aécio Neves ",34792002,33.51
"PSDB",2014,"Turno 2","Aécio Neves ",50889412,48.29
"PSDC",1998,"Turno 1","José Maria Eymael ",171814,0.25
"PSDC",2006,"Turno 1","José Maria Eymael ",63163,0.05
"PSDC",2010,"Turno 1","Jose Maria Eymael ",88951,0.05
"PSDC",2014,"Turno 1","José Maria Eymael ",60952,0.03
"PSL",2006,"Turno 1","Luciano Bivar ",61935,0.05
"PSN",1998,"Turno 1","Vasco Neto ",108969,0.15
"PSOL",2006,"Turno 1","Heloísa Helena ",6572099,6.83
"PSOL",2010,"Turno 1","Plínio de Arruda Sampaio ",885283,0.89
"PSOL",2014,"Turno 1","Luciana Genro ",1606508,1.53
"PSP",1989,"Turno 1","Marronzinho ",238379,0.35
"PSTU",1998,"Turno 1","José Maria deAlmeida ",202614,0.24
"PSTU",2002,"Turno 1","José Maria ",402030,0.46
"PSTU",2010,"Turno 1","José Maria de Almeida ",83997,0.04
"PSTU",2014,"Turno 1","José Maria de Almeida ",90512,0.04
"PT",1989,"Turno 1","Luiz Inácio Lula da Silva ",11619816,17.18
"PT",1989,"Turno 2","Luiz Inácio Lula da Silva ",31070734,46.96
"PT",1994,"Turno 1","Luiz Inácio Lula da Silva ",17112255,27.03
"PT",1998,"Turno 1","Luiz Inácio Lula da Silva ",21470333,31.71
"PT",2002,"Turno 1","Luiz Inácio Lula da Silva ",39436059,46.53
"PT",2002,"Turno 2","Lula",52771747,61.26
"PT",2006,"Turno 1"," Luiz Inácio Lula da Silva ",46646814,48.6
"PT",2006,"Turno 2","Luiz Inácio Lula da Silva ",58277094,60.82
"PT",2010,"Turno 1","Dilma Rousseff ",47595067,46.93
"PT",2010,"Turno 2","Dilma Rousseff ",55691399,56.06
"PT",2014,"Turno 1","Dilma Rousseff ",43229447,41.64
"PT",2014,"Turno 2","Dilma Rousseff ",54451986,51.7
"PTB",1989,"Turno 1","Affonso Camargo ",379262,0.58
