"estado","ano","turno","partido","votos","total","porcentagem"
"Rondônia",2014,"Turno 2","PT",364055,806404,45.1454853894574
"Acre",2014,"Turno 2","PT",138922,382452,36.324035434512
"Amazonas",2014,"Turno 2","PT",1033090,1588900,65.0191956699604
"Roraima",2014,"Turno 2","PT",97329,236806,41.10073224496
"Pará",2014,"Turno 2","PT",2103829,3664299,57.4142284786258
"Amapá",2014,"Turno 2","PT",227414,370078,61.4502888580245
"Tocantins",2014,"Turno 2","PT",428662,720510,59.4942471305048
"Maranhão",2014,"Turno 2","PT",2475762,3143279,78.7636732214989
"Piauí",2014,"Turno 2","PT",1385096,1768980,78.2991328336103
"Ceará",2014,"Turno 2","PT",3522225,4589321,76.7482814995944
"R. G. do Norte",2014,"Turno 2","PT",1201576,1717587,69.9572132299558
"Paraíba",2014,"Turno 2","PT",1380988,2148904,64.264760082349
"Pernambuco",2014,"Turno 2","PT",3438165,4897431,70.203439313387
"Alagoas",2014,"Turno 2","PT",941286,1515298,62.1188703476148
"Sergipe",2014,"Turno 2","PT",772253,1152475,67.0082214364737
"Bahia",2014,"Turno 2","PT",5059228,7211150,70.1584074662155
"Minas Gerais",2014,"Turno 2","PT",5979422,11408243,52.4131717741286
"Espirito Santo",2014,"Turno 2","PT",911906,1975973,46.1497196571006
"Rio de Janeiro ",2014,"Turno 2","PT",4488183,8169271,54.9398226598187
"São Paulo",2014,"Turno 2","PT",8488383,23784672,35.6884593573542
"Paraná",2014,"Turno 2","PT",2408740,6173765,39.0157383703461
"Santa Catarina",2014,"Turno 2","PT",1353808,3822887,35.4132361223337
"R. G. do Sul",2014,"Turno 2","PT",2997360,6449815,46.4720305931255
"M. G. do Sul",2014,"Turno 2","PT",590835,1353068,43.6663198006309
"Mato Grosso",2014,"Turno 2","PT",717230,1582229,45.3303535708169
"Goiás",2014,"Turno 2","PT",1365658,3183745,42.8947041927039
"Distrito Federal",2014,"Turno 2","PT",580581,1523856,38.0994660912842
"Rondônia",2014,"Turno 2","PSDB",442349,806404,54.8545146105426
"Acre",2014,"Turno 2","PSDB",243530,382452,63.675964565488
"Amazonas",2014,"Turno 2","PSDB",555810,1588900,34.9808043300396
"Roraima",2014,"Turno 2","PSDB",139477,236806,58.89926775504
"Pará",2014,"Turno 2","PSDB",1560470,3664299,42.5857715213742
"Amapá",2014,"Turno 2","PSDB",142664,370078,38.5497111419755
"Tocantins",2014,"Turno 2","PSDB",291848,720510,40.5057528694952
"Maranhão",2014,"Turno 2","PSDB",667517,3143279,21.236326778501
"Piauí",2014,"Turno 2","PSDB",383884,1768980,21.7008671663897
"Ceará",2014,"Turno 2","PSDB",1067096,4589321,23.2517185004056
"R. G. do Norte",2014,"Turno 2","PSDB",516011,1717587,30.0427867700443
"Paraíba",2014,"Turno 2","PSDB",767916,2148904,35.735239917651
"Pernambuco",2014,"Turno 2","PSDB",1459266,4897431,29.796560686613
"Alagoas",2014,"Turno 2","PSDB",574012,1515298,37.8811296523852
"Sergipe",2014,"Turno 2","PSDB",380222,1152475,32.9917785635263
"Bahia",2014,"Turno 2","PSDB",2151922,7211150,29.8415925337845
"Minas Gerais",2014,"Turno 2","PSDB",5428821,11408243,47.5868282258714
"Espirito Santo",2014,"Turno 2","PSDB",1064067,1975973,53.8502803428994
"Rio de Janeiro ",2014,"Turno 2","PSDB",3681088,8169271,45.0601773401813
"São Paulo",2014,"Turno 2","PSDB",15296289,23784672,64.3115406426458
"Paraná",2014,"Turno 2","PSDB",3765025,6173765,60.9842616296539
"Santa Catarina",2014,"Turno 2","PSDB",2469079,3822887,64.5867638776663
"R. G. do Sul",2014,"Turno 2","PSDB",3452455,6449815,53.5279694068745
"M. G. do Sul",2014,"Turno 2","PSDB",762233,1353068,56.3336801993691
"Mato Grosso",2014,"Turno 2","PSDB",864999,1582229,54.6696464291831
"Goiás",2014,"Turno 2","PSDB",1818087,3183745,57.1052958072961
"Distrito Federal",2014,"Turno 2","PSDB",943275,1523856,61.9005339087158
