"estado","nome","partido","coligacao","votos","porcentagem","cargo","ano","turno"
"Rondônia","Fernando Collor ","PRN","PRN PST PSL",165607,0.244932445798379,"Presidente",1989,"Turno 1"
"Acre","Fernando Collor ","PRN","PRN PST PSL",49862,0.0737458055057984,"Presidente",1989,"Turno 1"
"Amazonas","Fernando Collor ","PRN","PRN PST PSL",300848,0.444953633925804,"Presidente",1989,"Turno 1"
"Roraima","Fernando Collor ","PRN","PRN PST PSL",32130,0.0475202103987265,"Presidente",1989,"Turno 1"
"Pará","Fernando Collor ","PRN","PRN PST PSL",793384,1.17341346426963,"Presidente",1989,"Turno 1"
"Amapá","Fernando Collor ","PRN","PRN PST PSL",42255,0.0624950666168126,"Presidente",1989,"Turno 1"
"Tocantins","Fernando Collor ","PRN","PRN PST PSL",164964,0.243981449991146,"Presidente",1989,"Turno 1"
"Maranhão","Fernando Collor ","PRN","PRN PST PSL",609758,0.901830950896567,"Presidente",1989,"Turno 1"
"Piauí","Fernando Collor ","PRN","PRN PST PSL",383632,0.567391016361166,"Presidente",1989,"Turno 1"
"Ceará","Fernando Collor ","PRN","PRN PST PSL",861030,1.27346177278604,"Presidente",1989,"Turno 1"
"R. G. do Norte","Fernando Collor ","PRN","PRN PST PSL",326878,0.483451955640054,"Presidente",1989,"Turno 1"
"Paraíba","Fernando Collor ","PRN","PRN PST PSL",457129,0.676092943023948,"Presidente",1989,"Turno 1"
"Pernambuco","Fernando Collor ","PRN","PRN PST PSL",1066986,1.57807031473687,"Presidente",1989,"Turno 1"
"Alagoas","Fernando Collor ","PRN","PRN PST PSL",554612,0.820270119192608,"Presidente",1989,"Turno 1"
"Sergipe","Fernando Collor ","PRN","PRN PST PSL",301730,0.44625811028969,"Presidente",1989,"Turno 1"
"Bahia","Fernando Collor ","PRN","PRN PST PSL",1408614,2.08333749301562,"Presidente",1989,"Turno 1"
"Minas Gerais","Fernando Collor ","PRN","PRN PST PSL",2801422,4.14329794135142,"Presidente",1989,"Turno 1"
"Espírito Santo","Fernando Collor ","PRN","PRN PST PSL",468910,0.693517020170148,"Presidente",1989,"Turno 1"
"Rio de Janeiro","Fernando Collor ","PRN","PRN PST PSL",1189385,1.75909820868625,"Presidente",1989,"Turno 1"
"São Paulo","Fernando Collor ","PRN","PRN PST PSL",4085223,6.04203723889563,"Presidente",1989,"Turno 1"
"Paraná","Fernando Collor ","PRN","PRN PST PSL",1738216,2.57081823960264,"Presidente",1989,"Turno 1"
"Santa Catarina","Fernando Collor ","PRN","PRN PST PSL",566990,0.838577158231371,"Presidente",1989,"Turno 1"
"R. G. do Sul","Fernando Collor ","PRN","PRN PST PSL",480842,0.711164426036242,"Presidente",1989,"Turno 1"
