estado,nome,partido,coligacao,votos,porcentagem,cargo,ano,turno
Rondônia,Fernando Collor ,PRN,PRN PST PSL,165607,0.24,Presidente,1989,Turno 1
Acre,Fernando Collor ,PRN,PRN PST PSL,49862,0.07,Presidente,1989,Turno 1
Amazonas,Fernando Collor ,PRN,PRN PST PSL,300848,0.44,Presidente,1989,Turno 1
Roraima,Fernando Collor ,PRN,PRN PST PSL,32130,0.05,Presidente,1989,Turno 1
Pará,Fernando Collor ,PRN,PRN PST PSL,793384,1.17,Presidente,1989,Turno 1
Amapá,Fernando Collor ,PRN,PRN PST PSL,42255,0.06,Presidente,1989,Turno 1
Tocantins,Fernando Collor ,PRN,PRN PST PSL,164964,0.24,Presidente,1989,Turno 1
Maranhão,Fernando Collor ,PRN,PRN PST PSL,609758,0.9,Presidente,1989,Turno 1
Piauí,Fernando Collor ,PRN,PRN PST PSL,383632,0.57,Presidente,1989,Turno 1
Ceará,Fernando Collor ,PRN,PRN PST PSL,861030,1.27,Presidente,1989,Turno 1
R. G. do Norte,Fernando Collor ,PRN,PRN PST PSL,326878,0.48,Presidente,1989,Turno 1
Paraíba,Fernando Collor ,PRN,PRN PST PSL,457129,0.68,Presidente,1989,Turno 1
Pernambuco,Fernando Collor ,PRN,PRN PST PSL,1066986,1.58,Presidente,1989,Turno 1
Alagoas,Fernando Collor ,PRN,PRN PST PSL,554612,0.82,Presidente,1989,Turno 1
Sergipe,Fernando Collor ,PRN,PRN PST PSL,301730,0.45,Presidente,1989,Turno 1
Bahia,Fernando Collor ,PRN,PRN PST PSL,1408614,2.08,Presidente,1989,Turno 1
Minas Gerais,Fernando Collor ,PRN,PRN PST PSL,2801422,4.14,Presidente,1989,Turno 1
Espírito Santo,Fernando Collor ,PRN,PRN PST PSL,468910,0.69,Presidente,1989,Turno 1
Rio de Janeiro,Fernando Collor ,PRN,PRN PST PSL,1189385,1.76,Presidente,1989,Turno 1
São Paulo,Fernando Collor ,PRN,PRN PST PSL,4085223,6.04,Presidente,1989,Turno 1
Paraná,Fernando Collor ,PRN,PRN PST PSL,1738216,2.57,Presidente,1989,Turno 1
Santa Catarina,Fernando Collor ,PRN,PRN PST PSL,566990,0.84,Presidente,1989,Turno 1
R. G. do Sul,Fernando Collor ,PRN,PRN PST PSL,480842,0.71,Presidente,1989,Turno 1
M. G. do Sul,Fernando Collor ,PRN,PRN PST PSL,436539,0.65,Presidente,1989,Turno 1
Mato Grosso,Fernando Collor ,PRN,PRN PST PSL,344973,0.51,Presidente,1989,Turno 1
Goiás,Fernando Collor ,PRN,PRN PST PSL,803199,1.19,Presidente,1989,Turno 1
Distrito Federal,Fernando Collor ,PRN,PRN PST PSL,172818,0.26,Presidente,1989,Turno 1
Rondônia,Luiz Inácio Lula da Silva ,PT,PT PSB PCdoB,75532,0.11,Presidente,1989,Turno 1
Acre,Luiz Inácio Lula da Silva ,PT,PT PSB PCdoB,22954,0.03,Presidente,1989,Turno 1
Amazonas,Luiz Inácio Lula da Silva ,PT,PT PSB PCdoB,125406,0.19,Presidente,1989,Turno 1
